DATE,IHLCHGNEWUS
2021-08-18,56.3
2021-08-19,56.1
2021-08-20,56.0
2021-08-21,56.4
2021-08-22,57.9
2021-08-23,59.4
2021-08-24,59.2
2021-08-25,59.9
2021-08-26,60.7
2021-08-27,60.4
2021-08-28,59.0
2021-08-29,57.7
2021-08-30,56.2
2021-08-31,55.3
2021-09-01,53.9
2021-09-02,54.0
2021-09-03,55.2
2021-09-04,56.9
2021-09-05,59.0
2021-09-06,61.3
2021-09-07,61.3
2021-09-08,61.7
2021-09-09,59.3
2021-09-10,56.4
2021-09-11,53.4
2021-09-12,49.9
2021-09-13,46.2
2021-09-14,47.7
2021-09-15,48.2
2021-09-16,49.9
2021-09-17,52.0
2021-09-18,54.0
2021-09-19,55.6
2021-09-20,57.3
2021-09-21,56.1
2021-09-22,56.3
2021-09-23,56.6
2021-09-24,56.6
2021-09-25,56.4
2021-09-26,56.4
2021-09-27,56.8
2021-09-28,56.9
2021-09-29,55.9
2021-09-30,54.3
2021-10-01,53.7
2021-10-02,53.7
2021-10-03,53.5
2021-10-04,53.0
2021-10-05,53.1
2021-10-06,54.0
2021-10-07,55.8
2021-10-08,57.0
2021-10-09,57.6
2021-10-10,58.3
2021-10-11,59.2
2021-10-12,59.2
2021-10-13,58.9
2021-10-14,58.7
2021-10-15,57.3
2021-10-16,55.9
2021-10-17,55.5
2021-10-18,55.0
2021-10-19,55.3
2021-10-20,55.7
2021-10-21,55.4
2021-10-22,56.1
2021-10-23,57.4
2021-10-24,57.4
2021-10-25,57.2
2021-10-26,56.9
2021-10-27,56.7
2021-10-28,56.6
2021-10-29,56.4
2021-10-30,55.6
2021-10-31,55.4
2021-11-01,56.1
2021-11-02,57.8
2021-11-03,59.5
2021-11-04,61.0
2021-11-05,62.4
2021-11-06,63.7
2021-11-07,65.2
2021-11-08,66.2
2021-11-09,64.9
2021-11-10,63.7
2021-11-11,63.8
2021-11-12,63.7
2021-11-13,63.6
2021-11-14,62.7
2021-11-15,60.9
2021-11-16,60.8
2021-11-17,60.0
2021-11-18,58.1
2021-11-19,57.3
2021-11-20,56.4
2021-11-21,56.9
2021-11-22,59.0
2021-11-23,62.0
2021-11-24,66.1
2021-11-25,70.5
2021-11-26,70.9
2021-11-27,69.0
2021-11-28,65.4
2021-11-29,60.5
2021-11-30,53.5
2021-12-01,47.0
2021-12-02,40.8
2021-12-03,40.2
2021-12-04,43.6
2021-12-05,47.6
2021-12-06,52.0
2021-12-07,58.0
2021-12-08,62.4
2021-12-09,65.9
2021-12-10,66.9
2021-12-11,66.2
2021-12-12,66.8
2021-12-13,67.3
2021-12-14,67.1
2021-12-15,66.4
2021-12-16,66.1
2021-12-17,66.6
2021-12-18,67.2
2021-12-19,66.8
2021-12-20,65.9
2021-12-21,64.8
2021-12-22,64.6
2021-12-23,65.0
2021-12-24,64.0
2021-12-25,61.4
2021-12-26,59.7
2021-12-27,59.9
2021-12-28,60.7
2021-12-29,61.2
2021-12-30,61.7
2021-12-31,62.9
2022-01-01,66.5
2022-01-02,69.9
2022-01-03,70.8
2022-01-04,71.3
2022-01-05,72.4
2022-01-06,73.1
2022-01-07,74.7
2022-01-08,77.6
2022-01-09,78.2
2022-01-10,79.0
2022-01-11,79.2
2022-01-12,78.9
2022-01-13,78.6
2022-01-14,77.5
2022-01-15,73.5
2022-01-16,71.6
2022-01-17,71.0
2022-01-18,69.9
2022-01-19,68.9
2022-01-20,68.0
2022-01-21,67.3
2022-01-22,67.1
2022-01-23,66.9
2022-01-24,65.4
2022-01-25,65.9
2022-01-26,67.3
2022-01-27,68.5
2022-01-28,69.7
2022-01-29,71.0
2022-01-30,72.6
2022-01-31,74.5
2022-02-01,76.1
2022-02-02,77.9
2022-02-03,80.1
2022-02-04,82.2
2022-02-05,84.0
2022-02-06,85.4
2022-02-07,88.2
2022-02-08,90.0
2022-02-09,90.3
2022-02-10,90.0
2022-02-11,89.4
2022-02-12,89.2
2022-02-13,89.1
2022-02-14,87.8
2022-02-15,85.5
2022-02-16,84.2
2022-02-17,83.9
2022-02-18,84.0
2022-02-19,83.6
2022-02-20,83.7
2022-02-21,83.9
2022-02-22,84.3
2022-02-23,84.6
2022-02-24,83.3
2022-02-25,81.6
2022-02-26,80.4
2022-02-27,78.4
2022-02-28,76.1
2022-03-01,76.1
2022-03-02,76.8
2022-03-03,78.2
2022-03-04,79.4
2022-03-05,79.9
2022-03-06,80.3
2022-03-07,81.7
2022-03-08,81.4
2022-03-09,79.6
2022-03-10,77.6
2022-03-11,76.4
2022-03-12,76.0
2022-03-13,76.2
2022-03-14,75.8
2022-03-15,74.5
2022-03-16,74.0
2022-03-17,74.2
2022-03-18,74.2
2022-03-19,73.9
2022-03-20,73.0
2022-03-21,71.8
2022-03-22,71.8
2022-03-23,72.4
2022-03-24,72.0
2022-03-25,71.3
2022-03-26,71.2
2022-03-27,71.6
2022-03-28,72.1
2022-03-29,72.1
2022-03-30,71.8
2022-03-31,72.0
2022-04-01,72.8
2022-04-02,74.0
2022-04-03,74.6
2022-04-04,74.8
2022-04-05,75.2
2022-04-06,75.3
2022-04-07,76.2
2022-04-08,76.2
2022-04-09,73.4
2022-04-10,71.5
2022-04-11,70.2
2022-04-12,69.1
2022-04-13,68.7
2022-04-14,67.9
2022-04-15,66.6
2022-04-16,67.4
2022-04-17,68.3
2022-04-18,69.1
2022-04-19,69.6
2022-04-20,69.6
2022-04-21,69.4
2022-04-22,70.2
2022-04-23,71.0
2022-04-24,70.6
2022-04-25,70.5
2022-04-26,71.3
2022-04-27,72.0
2022-04-28,73.4
2022-04-29,74.5
2022-04-30,75.0
2022-05-01,77.0
2022-05-02,78.8
2022-05-03,79.6
2022-05-04,80.2
2022-05-05,79.6
2022-05-06,79.0
2022-05-07,79.7
2022-05-08,79.5
2022-05-09,77.8
2022-05-10,76.8
2022-05-11,75.6
2022-05-12,75.6
2022-05-13,75.7
2022-05-14,75.2
2022-05-15,73.4
2022-05-16,73.4
2022-05-17,73.3
2022-05-18,74.2
2022-05-19,74.0
2022-05-20,73.9
2022-05-21,73.5
2022-05-22,75.2
2022-05-23,76.2
2022-05-24,76.7
2022-05-25,76.7
2022-05-26,77.1
2022-05-27,78.4
2022-05-28,79.9
2022-05-29,80.7
2022-05-30,82.3
2022-05-31,81.0
2022-06-01,80.7
2022-06-02,80.8
2022-06-03,79.1
